boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1007200",Manhattan,I,"007200","72",MN20,Murray Hill-Kips Bay,"3808",1877428.8709700000472366809844970703125,5722.9438086999998631654307246208191,174420.027226649777731,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,174420.0272000000,0.9999999990,99.9999999800,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1006600",Manhattan,I,"006600","66",MN20,Murray Hill-Kips Bay,"3808",1880520.9258300000801682472229003906250,5498.1467111900001327740028500556946,174707.141113164776471,"10010","10010",33730.0000000000000000000000000000000,"10010","977409",Flatiron/Gramercy/Kips Bay,69911.5774000000,0.4001643940,40.0164394800,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1006600",Manhattan,I,"006600","66",MN20,Murray Hill-Kips Bay,"3808",1880520.9258300000801682472229003906250,5498.1467111900001327740028500556946,174707.141113164776471,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,104795.5403000000,0.5998354710,59.9835471100,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1006200",Manhattan,I,"006200","62",MN20,Murray Hill-Kips Bay,"3808",3194410.0854299999773502349853515625000,13288.7810805000008258502930402755737,296772.379098317236640,"10010","10010",33730.0000000000000000000000000000000,"10010","977409",Flatiron/Gramercy/Kips Bay,175837.3974000000,0.5924992000,59.2499200600,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1006200",Manhattan,I,"006200","62",MN20,Murray Hill-Kips Bay,"3808",3194410.0854299999773502349853515625000,13288.7810805000008258502930402755737,296772.379098317236640,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,110657.0682000000,0.3728684870,37.2868487700,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1006200",Manhattan,I,"006200","62",MN20,Murray Hill-Kips Bay,"3808",3194410.0854299999773502349853515625000,13288.7810805000008258502930402755737,296772.379098317236640,"10010","10010",,,,,10277.3986900000,0.0346305760,3.4630576870,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1001001",Manhattan,I,"001001","10.01",MN28,Lower East Side,"3809",867805.8550459999823942780494689941406,3924.7865926800000124785583466291428,80622.219650119484868,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,80617.1822800000,0.9999375180,99.9937518800,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1001002",Manhattan,E,"001002","10.02",MN28,Lower East Side,"3809",2225720.2383400001563131809234619140625,6315.1220787299998846719972789287567,206750.408401729073375,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,206720.7895000000,0.9998567400,99.9856740700,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1000202",Manhattan,E,"000202","2.02",MN28,Lower East Side,"3809",3315114.0548299998044967651367187500000,8568.0892352800001390278339385986328,307985.645470750052482,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,306434.7654000000,0.9949644400,99.4964440400,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1000201",Manhattan,E,"000201","2.01",MN28,Lower East Side,"3809",971599.3959530000574886798858642578125,4748.3259598599997843848541378974915,90264.922432503386517,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,90264.9224300000,1.0000000000,99.9999999900,"1637.67","208.45","9.6","1270.27","179.79","33.8"
